G,B,D,H,lamda,lamda_D,lamda_H,lamda_L,gamma,gamma_D,gamma_H
7.870768981385e2,1.43767603572,-4.84057450e-6,9.655e-14,1.98475142368,1.9461383e-6,8.8535e-12,7.223e-16,-8.425375759e-3,-8.130603e-9,-3.7688e-14
2.343466342865e3,1.42186583616,-4.84136115e-6,3.790e-13,1.98958040780,2.0930010e-6,8.8535e-12,7.223e-16,-8.445824185e-3,-8.130603e-9,-3.7688e-14
3.876334352822e3,1.40611987207,-4.84016433e-6,6.615e-13,1.99463074468,1.9396716e-6,8.8535e-12,7.223e-16,-8.466272611e-3,-8.130603e-9,-3.7688e-14
5.385861447181e3,1.39042397907,-4.83793438e-6,9.440e-13,1.99920969270,1.4861502e-6,8.8535e-12,7.223e-16,-8.486721036e-3,-8.130603e-9,-3.7688e-14
6.872209042662e3,1.37476784802,-4.83562169e-6,1.226e-12,2.00281000751,7.3243668e-7,8.8535e-12,7.223e-16,-8.507169462e-3,-8.130603e-9,-3.7688e-14
8.335519168407e3,1.35914418581,-4.83417660e-6,1.509e-12,2.00510994202,-3.2146892e-7,8.8535e-12,7.223e-16,-8.527617888e-3,-8.130603e-9,-3.7688e-14
9.775913860209e3,1.34354787627,-4.83454948e-6,1.791e-12,2.00597324641,-1.6755666e-6,8.8535e-12,7.223e-16,-8.548066314e-3,-8.130603e-9,-3.7688e-14
1.119349423410e4,1.32797514093,-4.83769068e-6,2.074e-12,2.00544916810,-3.3298563e-6,8.8535e-12,7.223e-16,-8.568514739e-3,-8.130603e-9,-3.7688e-14
1.258833923929e4,1.31242269994,-4.84455058e-6,2.356e-12,2.00377245180,-5.2843382e-6,8.8535e-12,7.223e-16,-8.588963165e-3,-8.130603e-9,-3.7688e-14
1.396050409046e4,1.29688693282,-4.85607952e-6,2.639e-12,2.00136333947,-7.5390121e-6,8.8535e-12,7.223e-16,-8.609411591e-3,-8.130603e-9,-3.7688e-14
1.531001837940e4,1.28136303937,-4.87322787e-6,2.921e-12,1.99882757033,-1.0093878e-5,8.8535e-12,7.223e-16,-8.629860017e-3,-8.130603e-9,-3.7688e-14
1.663688386600e4,1.26584420045,-4.89694600e-6,3.203e-12,1.99695638089,-1.2948936e-5,8.8535e-12,7.223e-16,-8.650308442e-3,-8.130603e-9,-3.7688e-14
1.794107194864e4,1.25032073887,-4.92818426e-6,3.486e-12,1.99672650488,-1.6104186e-5,8.8535e-12,7.223e-16,-8.670756868e-3,-8.130603e-9,-3.7688e-14
1.922252081383e4,1.23477928019,-4.96789301e-6,3.768e-12,1.99930017333,-1.9559628e-5,8.8535e-12,7.223e-16,-8.691205294e-3,-8.130603e-9,-3.7688e-14
2.048113226532e4,1.21920191354,-5.01702261e-6,4.051e-12,2.00602511451,-2.3315262e-5,8.8535e-12,7.223e-16,-8.711653719e-3,-8.130603e-9,-3.7688e-14
2.171676823252e4,1.20356535251,-5.07652343e-6,4.333e-12,2.01843455396,-2.7371089e-5,8.8535e-12,7.223e-16,-8.732102145e-3,-8.130603e-9,-3.7688e-14
2.292924695820e4,1.18784009597,-5.14734583e-6,4.616e-12,2.03824721449,-3.1727107e-5,8.8535e-12,7.223e-16,-8.752550571e-3,-8.130603e-9,-3.7688e-14
2.411833886569e4,1.17198958885,-5.23044016e-6,4.898e-12,2.06736731617,-3.6383318e-5,8.8535e-12,7.223e-16,-8.772998997e-3,-8.130603e-9,-3.7688e-14
2.528376210529e4,1.15596938308,-5.32675678e-6,5.181e-12,2.10788457633,-4.1339720e-5,8.8535e-12,7.223e-16,-8.793447422e-3,-8.130603e-9,-3.7688e-14
2.642517778011e4,1.13972629832,-5.43724607e-6,5.463e-12,2.16207420956,-4.6596315e-5,8.8535e-12,7.223e-16,-8.813895848e-3,-8.130603e-9,-3.7688e-14
2.754218485127e4,1.12319758288,-5.56285838e-6,5.746e-12,2.23239692771,-5.2153102e-5,8.8535e-12,7.223e-16,-8.834344274e-3,-8.130603e-9,-3.7688e-14
2.863431472241e4,1.10631007451,-5.70454406e-6,6.028e-12,2.32149893992,-5.8010081e-5,8.8535e-12,7.223e-16,-8.854792699e-3,-8.130603e-9,-3.7688e-14
2.970102550360e4,1.08897936123,-5.86325349e-6,6.311e-12,2.43221195256,-6.4167251e-5,8.8535e-12,7.223e-16,-8.875241125e-3,-8.130603e-9,-3.7688e-14
3.074169595455e4,1.07110894223,-6.03993702e-6,6.593e-12,2.56755316928,-7.0624614e-5,8.8535e-12,7.223e-16,-8.895689551e-3,-8.130603e-9,-3.7688e-14
3.175561910719e4,1.05258938863,-6.23554501e-6,6.876e-12,2.73072529099,-7.7382170e-5,8.8535e-12,7.223e-16,-8.916137977e-3,-8.130603e-9,-3.7688e-14
3.274199556768e4,1.03329750435,-6.45102782e-6,7.158e-12,2.92511651586,-8.4439917e-5,8.8535e-12,7.223e-16,-8.936586402e-3,-8.130603e-9,-3.7688e-14
3.369566103636e4,1.01309548696,-6.68733582e-6,7.441e-12,3.15430053933,-9.1797856e-5,8.8535e-12,7.223e-16,-8.957034828e-3,-8.130603e-9,-3.7688e-14
3.461922355942e4,9.91830088498e-1,-6.94541936e-6,7.723e-12,3.42203655410,-9.9455987e-5,8.8535e-12,7.223e-16,-8.977483254e-3,-8.130603e-9,-3.7688e-14
3.552631483325e4,9.69331776309e-1,-7.22622881e-6,8.006e-12,3.73226925013,-1.0741431e-4,8.8535e-12,7.223e-16,-8.997931680e-3,-8.130603e-9,-3.7688e-14
3.636802090462e4,9.45413893888e-1,-7.53071453e-6,8.288e-12,4.08912881464,-1.1567282e-4,8.8535e-12,7.223e-16,-9.018380105e-3,-8.130603e-9,-3.7688e-14
3.718544202131e4,9.19871821711e-1,-7.85982687e-6,8.571e-12,4.49693093213,-1.2423153e-4,8.8535e-12,7.223e-16,-9.038828531e-3,-8.130603e-9,-3.7688e-14
3.796097213336e4,8.92482138075e-1,-8.21451620e-6,8.853e-12,4.96017678435,-1.3309043e-4,8.8535e-12,7.223e-16,-9.059276957e-3,-8.130603e-9,-3.7688e-14
3.878537412792e4,8.63001779933e-1,-8.59573288e-6,9.136e-12,5.48355305030,-1.4224952e-4,8.8535e-12,7.223e-16,-9.079725382e-3,-8.130603e-9,-3.7688e-14
3.950904346495e4,8.31167203731e-1,-9.00442727e-6,9.418e-12,6.07193190628,-1.5170880e-4,8.8535e-12,7.223e-16,-9.100173808e-3,-8.130603e-9,-3.7688e-14
4.019254850457e4,7.96693546245e-1,-9.44154974e-6,9.701e-12,6.73037102581,-1.6146828e-4,8.8535e-12,7.223e-16,-9.120622234e-3,-8.130603e-9,-3.7688e-14
4.083372665956e4,7.59273785420e-1,-9.90805063e-6,9.983e-12,7.46411357971,-1.7152795e-4,8.8535e-12,7.223e-16,-9.141070660e-3,-8.130603e-9,-3.7688e-14
